seed,grad1_max_abs_error,grad2_max_abs_error
0,1.0408340855860843e-17,1.5612511283791264e-17
1,1.3877787807814457e-17,1.0408340855860843e-17
2,1.0408340855860843e-17,1.0408340855860843e-17
3,1.3877787807814457e-17,1.0408340855860843e-17
4,1.3877787807814457e-17,1.0408340855860843e-17
5,1.5612511283791264e-17,1.3877787807814457e-17
6,8.673617379884035e-18,1.3877787807814457e-17
7,8.673617379884035e-18,8.673617379884035e-18
8,1.0408340855860843e-17,1.0408340855860843e-17
9,1.734723475976807e-17,1.0408340855860843e-17
