condition,h,seeds,lr_max,steps,eta1_fraction,loss
clean,1000,5,80,1,0.05,0.8312430381774902
clean,1000,5,80,1,0.1,0.8314791440963745
clean,1000,5,80,1,0.15,0.8316876292228699
clean,1000,5,80,1,0.2,0.8318684577941895
clean,1000,5,80,1,0.25,0.8320215940475464
clean,1000,5,80,1,0.3,0.8321469545364379
clean,1000,5,80,1,0.35,0.8322444796562195
clean,1000,5,80,1,0.39999999999999997,0.8323141813278199
clean,1000,5,80,1,0.44999999999999996,0.83235604763031
clean,1000,5,80,1,0.49999999999999994,0.8323699593544006
clean,1000,5,80,1,0.5499999999999999,0.8323560357093811
clean,1000,5,80,1,0.6,0.8323141932487488
clean,1000,5,80,1,0.65,0.8322444796562195
clean,1000,5,80,1,0.7,0.832146942615509
clean,1000,5,80,1,0.75,0.8320215821266175
clean,1000,5,80,1,0.7999999999999999,0.8318684697151184
clean,1000,5,80,1,0.85,0.8316876292228699
clean,1000,5,80,1,0.9,0.8314791202545166
clean,1000,5,80,1,0.95,0.8312430381774902
clean,1000,5,80,2,0.05,0.6329664587974548
clean,1000,5,80,2,0.1,0.5746341228485108
clean,1000,5,80,2,0.15,0.5257183909416199
clean,1000,5,80,2,0.2,0.4852574110031128
clean,1000,5,80,2,0.25,0.45242035388946533
clean,1000,5,80,2,0.3,0.42650612592697146
clean,1000,5,80,2,0.35,0.40694248080253603
clean,1000,5,80,2,0.39999999999999997,0.3932852029800415
clean,1000,5,80,2,0.44999999999999996,0.38521745800971985
clean,1000,5,80,2,0.49999999999999994,0.3825493037700653
clean,1000,5,80,2,0.5499999999999999,0.38521745800971985
clean,1000,5,80,2,0.6,0.39328519701957704
clean,1000,5,80,2,0.65,0.4069424867630005
clean,1000,5,80,2,0.7,0.42650611996650695
clean,1000,5,80,2,0.75,0.4524203479290009
clean,1000,5,80,2,0.7999999999999999,0.4852574348449707
clean,1000,5,80,2,0.85,0.5257183909416199
clean,1000,5,80,2,0.9,0.5746341347694397
clean,1000,5,80,2,0.95,0.6329664707183837
label_noise_rho_0.01,1000,5,80,1,0.05,0.8314167857170105
label_noise_rho_0.01,1000,5,80,1,0.1,0.8316797733306884
label_noise_rho_0.01,1000,5,80,1,0.15,0.8319119930267334
label_noise_rho_0.01,1000,5,80,1,0.2,0.8321134448051453
label_noise_rho_0.01,1000,5,80,1,0.25,0.8322839975357056
label_noise_rho_0.01,1000,5,80,1,0.3,0.8324235916137696
label_noise_rho_0.01,1000,5,80,1,0.35,0.8325322389602661
label_noise_rho_0.01,1000,5,80,1,0.39999999999999997,0.8326098561286926
label_noise_rho_0.01,1000,5,80,1,0.44999999999999996,0.8326564311981202
label_noise_rho_0.01,1000,5,80,1,0.49999999999999994,0.8326719641685486
label_noise_rho_0.01,1000,5,80,1,0.5499999999999999,0.8326564431190491
label_noise_rho_0.01,1000,5,80,1,0.6,0.8326098680496216
label_noise_rho_0.01,1000,5,80,1,0.65,0.8325322508811951
label_noise_rho_0.01,1000,5,80,1,0.7,0.8324236154556275
label_noise_rho_0.01,1000,5,80,1,0.75,0.8322839856147766
label_noise_rho_0.01,1000,5,80,1,0.7999999999999999,0.8321134328842164
label_noise_rho_0.01,1000,5,80,1,0.85,0.8319120168685913
label_noise_rho_0.01,1000,5,80,1,0.9,0.8316797614097595
label_noise_rho_0.01,1000,5,80,1,0.95,0.8314167737960816
label_noise_rho_0.01,1000,5,80,2,0.05,0.6330442190170288
label_noise_rho_0.01,1000,5,80,2,0.1,0.574519681930542
label_noise_rho_0.01,1000,5,80,2,0.15,0.5254925847053528
label_noise_rho_0.01,1000,5,80,2,0.2,0.4849783778190613
label_noise_rho_0.01,1000,5,80,2,0.25,0.45212713479995725
label_noise_rho_0.01,1000,5,80,2,0.3,0.4262220740318298
label_noise_rho_0.01,1000,5,80,2,0.35,0.4066783368587494
label_noise_rho_0.01,1000,5,80,2,0.39999999999999997,0.3930420637130737
label_noise_rho_0.01,1000,5,80,2,0.44999999999999996,0.3849896013736725
label_noise_rho_0.01,1000,5,80,2,0.49999999999999994,0.38232699036598206
label_noise_rho_0.01,1000,5,80,2,0.5499999999999999,0.384989595413208
label_noise_rho_0.01,1000,5,80,2,0.6,0.3930420637130737
label_noise_rho_0.01,1000,5,80,2,0.65,0.4066783547401428
label_noise_rho_0.01,1000,5,80,2,0.7,0.42622207999229433
label_noise_rho_0.01,1000,5,80,2,0.75,0.4521271467208862
label_noise_rho_0.01,1000,5,80,2,0.7999999999999999,0.4849783957004547
label_noise_rho_0.01,1000,5,80,2,0.85,0.5254925847053528
label_noise_rho_0.01,1000,5,80,2,0.9,0.574519681930542
label_noise_rho_0.01,1000,5,80,2,0.95,0.6330442190170288
